"chart_position","chart_date","song","performer","song_id"
77,2000-06-10,"No Me Dejes De Querer","Gloria Estefan","No Me Dejes De QuererGloria Estefan"
98,2000-08-05,"Cherchez LaGhost","Ghostface Killah","Cherchez LaGhostGhostface Killah"
99,2000-10-28,"Toca's Miracle","Fragma","Toca's MiracleFragma"
98,2000-11-18,"Souljas","Master P","SouljasMaster P"
65,2001-01-06,"Where Are You Christmas?","Faith Hill","Where Are You Christmas?Faith Hill"
99,2001-04-28,"Like, Wow!","Leslie Carter","Like, Wow!Leslie Carter"
94,2002-02-02,"My Sweet Lord","George Harrison","My Sweet LordGeorge Harrison"
99,2003-03-15,"Break You Off","The Roots Featuring Musiq","Break You OffThe Roots Featuring Musiq"
99,2003-04-19,"Yeah Yeah U Know It","Keith Murray Featuring Def Squad","Yeah Yeah U Know ItKeith Murray Featuring Def Squad"
97,2003-10-04,"Sympathy For The Devil (Remixes)","The Rolling Stones","Sympathy For The Devil (Remixes)The Rolling Stones"
95,2004-03-06,"Something Happened On The Way To Heaven","Deborah Cox","Something Happened On The Way To HeavenDeborah Cox"
97,2004-06-26,"Coo-Coo Chee","Ric-A-Che Featuring Darija","Coo-Coo CheeRic-A-Che Featuring Darija"
98,2004-08-28,"Storm","Lenny Kravitz Featuring Jay-Z","StormLenny Kravitz Featuring Jay-Z"
100,2004-10-09,"Whatever U Want","Christina Milian Featuring Joe Budden","Whatever U WantChristina Milian Featuring Joe Budden"
94,2005-02-19,"Down And Out","Cam'Ron Featuring Kanye West & Syleena Johnson","Down And OutCam'Ron Featuring Kanye West & Syleena Johnson"
82,2005-02-26,"We Will Become Silhouettes","The Postal Service","We Will Become SilhouettesThe Postal Service"
22,2005-03-05,"Across The Universe","Various Artists","Across The UniverseVarious Artists"
88,2005-03-26,"Piggy Bank","50 Cent","Piggy Bank50 Cent"
94,2005-03-26,"Why Do You Love Me","Garbage","Why Do You Love MeGarbage"
71,2005-04-02,"Bitches Ain't S**t","Ben Folds","Bitches Ain't S**tBen Folds"
96,2005-04-09,"So What The Fuss","Stevie Wonder","So What The FussStevie Wonder"
72,2005-04-16,"Devils & Dust","Bruce Springsteen","Devils & DustBruce Springsteen"
100,2005-04-16,"Do Somethin'","Britney Spears","Do Somethin'Britney Spears"
85,2005-04-30,"Hello Tomorrow","Squeak E. Clean Featuring Karen O","Hello TomorrowSqueak E. Clean Featuring Karen O"
97,2005-07-09,"An Honest Mistake","The Bravery","An Honest MistakeThe Bravery"
48,2005-07-23,"Sgt. Pepper's Lonely Hearts Club Band","Paul McCartney With U2","Sgt. Pepper's Lonely Hearts Club BandPaul McCartney With U2"
100,2005-08-20,"Girl","Beck","GirlBeck"
90,2005-08-27,"Nada Es Para Siempre","Luis Fonsi","Nada Es Para SiempreLuis Fonsi"
92,2005-09-17,"Outta Control","50 Cent","Outta Control50 Cent"
95,2005-10-01,"Good Times","Tommy Lee","Good TimesTommy Lee"
92,2005-10-01,"Who Did You Think I Was","John Mayer Trio","Who Did You Think I WasJohn Mayer Trio"
98,2005-10-22,"Juicebox","The Strokes","JuiceboxThe Strokes"
96,2005-10-29,"And I","Ciara","And ICiara"
97,2005-12-17,"Ella Y Yo","Aventura Featuring Don Omar","Ella Y YoAventura Featuring Don Omar"
100,2005-12-17,"Welcome 2 Detroit","Trick-Trick Featuring Eminem","Welcome 2 DetroitTrick-Trick Featuring Eminem"
78,2005-12-24,"Amor Eterno","Cristian Castro","Amor EternoCristian Castro"
84,2006-01-14,"The Ghost Of You","My Chemical Romance","The Ghost Of YouMy Chemical Romance"
67,2006-02-11,"What I've Been Looking For (Reprise)","Andrew Seeley & Vanessa Anne Hudgens","What I've Been Looking For (Reprise)Andrew Seeley & Vanessa Anne Hudgens"
72,2006-02-11,"When There Was Me And You","Vanessa Anne Hudgens","When There Was Me And YouVanessa Anne Hudgens"
69,2006-02-25,"In The Sun","Michael Stipe","In The SunMichael Stipe"
52,2006-03-04,"Cowboys Are Frequently Secretly (Fond Of Each Other)","Willie Nelson","Cowboys Are Frequently Secretly (Fond Of Each Other)Willie Nelson"
60,2006-03-11,"Black Sweat","Prince","Black SweatPrince"
64,2006-03-25,"In The Deep","Bird York","In The DeepBird York"
100,2006-04-08,"Llame Pa' Verte","Wisin & Yandel","Llame Pa' VerteWisin & Yandel"
94,2006-04-15,"Lo Que Me Gusta A Mi","Juanes","Lo Que Me Gusta A MiJuanes"
56,2006-04-22,"Every Day Is Exactly The Same","Nine Inch Nails","Every Day Is Exactly The SameNine Inch Nails"
99,2006-04-29,"Save The Last Dance For Me","Michael Buble","Save The Last Dance For MeMichael Buble"
97,2006-06-03,"I Am Not My Hair","India.Arie","I Am Not My HairIndia.Arie"
86,2006-06-17,"One","Mary J. Blige And U2","OneMary J. Blige And U2"
100,2006-06-24,"High","James Blunt","HighJames Blunt"
91,2006-07-22,"Bojangles","Pitbull","BojanglesPitbull"
100,2006-07-22,"Saving Grace","Tom Petty","Saving GraceTom Petty"
95,2006-09-09,"Morris Brown","OutKast Featuring Scar & Sleepy Brown","Morris BrownOutKast Featuring Scar & Sleepy Brown"
78,2006-09-09,"Ride For You","Danity Kane","Ride For YouDanity Kane"
100,2006-09-16,"Idlewild Blue (Don'tchu Worry 'Bout Me)","OutKast","Idlewild Blue (Don'tchu Worry 'Bout Me)OutKast"
99,2006-10-07,"Superman","Brown Boy","SupermanBrown Boy"
78,2006-11-04,"The Pick Of Destiny","Tenacious D","The Pick Of DestinyTenacious D"
67,2006-11-11,"I Got Nerve","Hannah Montana","I Got NerveHannah Montana"
99,2006-11-11,"Just Like You","Hannah Montana","Just Like YouHannah Montana"
88,2006-11-11,"Our Country","John Mellencamp","Our CountryJohn Mellencamp"
81,2006-11-11,"Pumpin' Up The Party","Hannah Montana","Pumpin' Up The PartyHannah Montana"
84,2006-11-11,"The Other Side Of Me","Hannah Montana","The Other Side Of MeHannah Montana"
89,2006-11-11,"This Is The Life","Hannah Montana","This Is The LifeHannah Montana"
94,2006-11-18,"Change Me","Ruben Studdard","Change MeRuben Studdard"
96,2006-11-18,"Crash Here Tonight","Toby Keith","Crash Here TonightToby Keith"
100,2006-11-18,"Tengo Un Amor","Toby Love Featuring Rakim & Ken-Y","Tengo Un AmorToby Love Featuring Rakim & Ken-Y"
100,2006-11-25,"A La Primera Persona","Alejandro Sanz","A La Primera PersonaAlejandro Sanz"
97,2006-11-25,"High School Never Ends","Bowling For Soup","High School Never EndsBowling For Soup"
89,2006-12-02,"When Your Heart Stops Beating","(+44)","When Your Heart Stops Beating(+44)"
96,2006-12-09,"Greatest Time Of Year","Aly & AJ","Greatest Time Of YearAly & AJ"
98,2006-12-09,"Kingdom Come","JAY-Z","Kingdom ComeJAY-Z"
85,2006-12-16,"Dangerous","Ying Yang Twins Featuring Wyclef","DangerousYing Yang Twins Featuring Wyclef"
84,2006-12-16,"Ser O Parecer","RBD","Ser O ParecerRBD"
95,2006-12-30,"I'll Be Home For Christmas (Live)","Josh Groban","I'll Be Home For Christmas (Live)Josh Groban"
81,2006-12-30,"The Carpal Tunnel Of Love","Fall Out Boy","The Carpal Tunnel Of LoveFall Out Boy"
92,2007-01-27,"Mr. Jones","Mike Jones","Mr. JonesMike Jones"
86,2007-02-10,"Phantom Limb","The Shins","Phantom LimbThe Shins"
83,2007-02-17,"Crazy Car","The Naked Brothers Band","Crazy CarThe Naked Brothers Band"
78,2007-02-24,"Not Fade Away","Sheryl Crow","Not Fade AwaySheryl Crow"
72,2007-03-10,"Break 'Em Off","Paul Wall Featuring Lil' KeKe","Break 'Em OffPaul Wall Featuring Lil' KeKe"
90,2007-03-10,"Keep Your Mind Wide Open","AnnaSophia Robb","Keep Your Mind Wide OpenAnnaSophia Robb"
89,2007-03-17,"Freak On A Leash (Unplugged)","Korn Featuring Amy Lee","Freak On A Leash (Unplugged)Korn Featuring Amy Lee"
61,2007-03-17,"Movin' On","Elliott Yamin","Movin' OnElliott Yamin"
74,2007-03-17,"The Neighbor","Dixie Chicks","The NeighborDixie Chicks"
68,2007-03-31,"Survivalism","Nine Inch Nails","SurvivalismNine Inch Nails"
83,2007-04-07,"Tell Me 'Bout It","Joss Stone","Tell Me 'Bout ItJoss Stone"
92,2007-04-14,"Love Today","MIKA","Love TodayMIKA"
83,2007-04-21,"Diamonds","Fabolous Featuring Young Jeezy","DiamondsFabolous Featuring Young Jeezy"
91,2007-04-21,"Release","Timbaland Featuring Justin Timberlake","ReleaseTimbaland Featuring Justin Timberlake"
84,2007-04-28,"Earth Intruders","Bjork","Earth IntrudersBjork"
86,2007-04-28,"Que Hiciste","Jennifer Lopez","Que HicisteJennifer Lopez"
75,2007-04-28,"The Story (I Was Made For You)","Brandi Carlile","The Story (I Was Made For You)Brandi Carlile"
94,2007-05-05,"A Feelin' Like That","Gary Allan","A Feelin' Like ThatGary Allan"
93,2007-05-12,"I Don't Need A Man","The Pussycat Dolls","I Don't Need A ManThe Pussycat Dolls"
83,2007-05-26,"Vulnerable","Secondhand Serenade","VulnerableSecondhand Serenade"
99,2007-06-02,"Given Up","Linkin Park","Given UpLinkin Park"
80,2007-06-09,"I Who Have Nothing","Jordin Sparks","I Who Have NothingJordin Sparks"
99,2007-06-09,"Time Of The Season","Blake Lewis","Time Of The SeasonBlake Lewis"
56,2007-06-16,"Beautiful Flower","India.Arie","Beautiful FlowerIndia.Arie"
97,2007-07-07,"Doomsday Clock","The Smashing Pumpkins","Doomsday ClockThe Smashing Pumpkins"
92,2007-07-14,"Make Some Noise","Hannah Montana","Make Some NoiseHannah Montana"
99,2007-07-14,"True Friend","Hannah Montana","True FriendHannah Montana"
97,2007-08-04,"Stranger","Hilary Duff","StrangerHilary Duff"
76,2007-09-08,"Fabulous","Ashley Tisdale & Lucas Grabeel","FabulousAshley Tisdale & Lucas Grabeel"
78,2007-09-15,"Coffee Shop","Yung Joc Featuring Gorilla Zoe","Coffee ShopYung Joc Featuring Gorilla Zoe"
88,2007-09-29,"Do It","Nelly Furtado","Do ItNelly Furtado"
68,2007-11-03,"Shadowplay","The Killers","ShadowplayThe Killers"
97,2007-11-10,"Empty Walls","Serj Tankian","Empty WallsSerj Tankian"
90,2007-11-24,"Headlines (Friendship Never Ends)","Spice Girls","Headlines (Friendship Never Ends)Spice Girls"
