"chart_position","chart_date","song","performer","song_id"
45,2020-01-04,"Baby It's Cold Outside","Dean Martin","Baby It's Cold OutsideDean Martin"
69,2020-01-04,"Happy Xmas (War Is Over)","John Legend","Happy Xmas (War Is Over)John Legend"
69,2020-01-11,"GATTI","JACKBOYS, Pop Smoke & Travis Scott","GATTIJACKBOYS, Pop Smoke & Travis Scott"
94,2020-01-18,"20/20","Lil Tjay","20/20Lil Tjay"
86,2020-01-25,"Conversations In The Dark","John Legend","Conversations In The DarkJohn Legend"
83,2020-01-25,"Eleven","Khalid","ElevenKhalid"
89,2020-01-25,"Protect da Brand","Moneybagg Yo Featuring DaBaby","Protect da BrandMoneybagg Yo Featuring DaBaby"
57,2020-02-01,"Black Swan","BTS","Black SwanBTS"
48,2020-02-01,"Circles","Mac Miller","CirclesMac Miller"
63,2020-02-01,"Complicated","Mac Miller","ComplicatedMac Miller"
80,2020-02-01,"Everybody","Mac Miller","EverybodyMac Miller"
64,2020-02-01,"Hand Me Downs","Mac Miller","Hand Me DownsMac Miller"
68,2020-02-01,"I Can See","Mac Miller","I Can SeeMac Miller"
71,2020-02-01,"In Too Deep","Eminem","In Too DeepEminem"
61,2020-02-01,"Leaving Heaven","Eminem Featuring Skylar Grey","Leaving HeavenEminem Featuring Skylar Grey"
89,2020-02-01,"Lock It Up","Eminem Featuring Anderson .Paak","Lock It UpEminem Featuring Anderson .Paak"
83,2020-02-01,"Marsh","Eminem","MarshEminem"
84,2020-02-01,"No Regrets","Eminem Featuring Don Toliver","No RegretsEminem Featuring Don Toliver"
67,2020-02-01,"Premonition (Intro)","Eminem","Premonition (Intro)Eminem"
93,2020-02-01,"Stepdad","Eminem","StepdadEminem"
91,2020-02-01,"Surf","Mac Miller","SurfMac Miller"
100,2020-02-01,"That's On Me","Mac Miller","That's On MeMac Miller"
75,2020-02-01,"Woods","Mac Miller","WoodsMac Miller"
94,2020-02-08,"First Man","Camila Cabello","First ManCamila Cabello"
95,2020-02-08,"What If I Told You That I Love You","Ali Gatie","What If I Told You That I Love YouAli Gatie"
88,2020-02-15,"Funeral","Lil Wayne","FuneralLil Wayne"
93,2020-02-15,"Get Me","Justin Bieber Featuring Kehlani","Get MeJustin Bieber Featuring Kehlani"
61,2020-02-15,"Mahogany","Lil Wayne","MahoganyLil Wayne"
87,2020-02-15,"Mama Mia","Lil Wayne","Mama MiaLil Wayne"
89,2020-02-15,"Nice To Meet Ya","Meghan Trainor Featuring Nicki Minaj","Nice To Meet YaMeghan Trainor Featuring Nicki Minaj"
50,2020-02-15,"Only The Young","Taylor Swift","Only The YoungTaylor Swift"
90,2020-02-22,"Believe","Meek Mill Featuring Justin Timberlake","BelieveMeek Mill Featuring Justin Timberlake"
83,2020-02-22,"KEII","Anuel AA","KEIIAnuel AA"
97,2020-02-22,"No Judgement","Niall Horan","No JudgementNiall Horan"
74,2020-02-22,"Rodeo","Lil Nas X & Cardi B Or Nas","RodeoLil Nas X & Cardi B Or Nas"
68,2020-02-22,"Run","Joji","RunJoji"
100,2020-02-29,"All Around Me","Justin Bieber","All Around MeJustin Bieber"
95,2020-02-29,"Cinderella Story","A Boogie Wit da Hoodie","Cinderella StoryA Boogie Wit da Hoodie"
86,2020-02-29,"Come Around Me","Justin Bieber","Come Around MeJustin Bieber"
98,2020-02-29,"Habitual","Justin Bieber","HabitualJustin Bieber"
66,2020-02-29,"Might Not Give Up","A Boogie Wit da Hoodie Featuring Young Thug","Might Not Give UpA Boogie Wit da Hoodie Featuring Young Thug"
80,2020-02-29,"Stain","A Boogie Wit da Hoodie Featuring DaBaby","StainA Boogie Wit da Hoodie Featuring DaBaby"
73,2020-02-29,"Thug Love","A Boogie Wit da Hoodie","Thug LoveA Boogie Wit da Hoodie"
48,2020-02-29,"g n f (Give No Fxk)","Migos, Young Thug & Travis Scott","g n f (Give No Fxk)Migos, Young Thug & Travis Scott"
59,2020-03-07,"Bad Bad","YoungBoy Never Broke Again","Bad BadYoungBoy Never Broke Again"
89,2020-03-07,"Bat Man","YoungBoy Never Broke Again","Bat ManYoungBoy Never Broke Again"
98,2020-03-07,"Feel Me","Selena Gomez","Feel MeSelena Gomez"
87,2020-03-07,"Filter","BTS","FilterBTS"
58,2020-03-07,"Fine By Time","YoungBoy Never Broke Again","Fine By TimeYoungBoy Never Broke Again"
60,2020-03-07,"Knocked Off","YoungBoy Never Broke Again","Knocked OffYoungBoy Never Broke Again"
85,2020-03-07,"Long RD","YoungBoy Never Broke Again","Long RDYoungBoy Never Broke Again"
84,2020-03-07,"My Time","BTS","My TimeBTS"
80,2020-03-07,"RIP Lil Phat","YoungBoy Never Broke Again","RIP Lil PhatYoungBoy Never Broke Again"
47,2020-03-07,"Red Eye","YoungBoy Never Broke Again","Red EyeYoungBoy Never Broke Again"
93,2020-03-07,"Shake The Room","Pop Smoke Featuring Quavo","Shake The RoomPop Smoke Featuring Quavo"
89,2020-03-14,"Bichiyal","Bad Bunny & Yaviah","BichiyalBad Bunny & Yaviah"
99,2020-03-14,"Can't Explain","Lil Baby","Can't ExplainLil Baby"
97,2020-03-14,"Esta Cabron Ser Yo","Bad Bunny X Anuel AA","Esta Cabron Ser YoBad Bunny X Anuel AA"
64,2020-03-14,"Forever","Lil Baby Featuring Lil Wayne","ForeverLil Baby Featuring Lil Wayne"
54,2020-03-14,"Get Ugly","Lil Baby","Get UglyLil Baby"
59,2020-03-14,"How","Lil Baby","HowLil Baby"
28,2020-03-14,"Live Off My Closet","Lil Baby Featuring Future","Live Off My ClosetLil Baby Featuring Future"
58,2020-03-14,"No Sucker","Lil Baby & Moneybagg Yo","No SuckerLil Baby & Moneybagg Yo"
63,2020-03-14,"Pero Ya No","Bad Bunny","Pero Ya NoBad Bunny"
78,2020-03-14,"Same Thing","Lil Baby","Same ThingLil Baby"
94,2020-03-14,"Solia","Bad Bunny","SoliaBad Bunny"
91,2020-03-14,"We Should","Lil Baby & Young Thug","We ShouldLil Baby & Young Thug"
33,2020-03-21,"Bigger Than Life","Lil Uzi Vert","Bigger Than LifeLil Uzi Vert"
51,2020-03-21,"Bust Me","Lil Uzi Vert","Bust MeLil Uzi Vert"
34,2020-03-21,"Celebration Station","Lil Uzi Vert","Celebration StationLil Uzi Vert"
