"chart_position","chart_date","song","performer","song_id"
97,1960-01-23,"Livin' Dangerously","The McGuire Sisters","Livin' DangerouslyThe McGuire Sisters"
83,1960-02-13,"Forever","Billy Walker","ForeverBilly Walker"
98,1960-02-13,"If You Need Me","Fats Domino","If You Need MeFats Domino"
100,1960-02-20,"Let Them Talk","Little Willie John","Let Them TalkLittle Willie John"
99,1960-02-27,"The Old Payola Roll Blues (Side I)","Stan Freberg","The Old Payola Roll Blues (Side I)Stan Freberg"
94,1960-03-19,"Words","Pat Boone","WordsPat Boone"
98,1960-03-26,"I Need You Now","100 Strings and Jono (Choir of 40 Voices)","I Need You Now100 Strings and Jono (Choir of 40 Voices)"
98,1960-06-04,"La Montana (If She Should Come To You)","Roger Williams","La Montana (If She Should Come To You)Roger Williams"
99,1960-06-04,"The Yen Yet Song","Gary Cane And His Friends","The Yen Yet SongGary Cane And His Friends"
86,1960-06-25,"You've Got The Power","James Brown And The Famous Flames","You've Got The PowerJames Brown And The Famous Flames"
92,1960-07-23,"Honky-Tonk Girl","Johnny Cash","Honky-Tonk GirlJohnny Cash"
99,1960-07-23,"She's Just A Whole Lot Like You","Hank Thompson","She's Just A Whole Lot Like YouHank Thompson"
91,1960-07-23,"Whip It On Me","Jessie Hill","Whip It On MeJessie Hill"
97,1960-07-30,"Theme From Adventures In Paradise","Jerry Byrd","Theme From Adventures In ParadiseJerry Byrd"
98,1960-08-06,"She's Mine","Conway Twitty","She's MineConway Twitty"
99,1960-08-13,"The Last Dance","The McGuire Sisters","The Last DanceThe McGuire Sisters"
97,1960-08-27,"Revival","Johnny And The Hurricanes","RevivalJohnny And The Hurricanes"
99,1960-08-27,"Vaquero (Cowboy)","The Fireballs","Vaquero (Cowboy)The Fireballs"
100,1960-09-03,"Beachcomber","Bobby Darin","BeachcomberBobby Darin"
81,1960-09-10,"Since I Met You Baby","Bobby Vee","Since I Met You BabyBobby Vee"
96,1960-10-15,"The Last One To Know","The Fleetwoods","The Last One To KnowThe Fleetwoods"
95,1960-10-22,"Dance With Me Georgie","The Bobbettes","Dance With Me GeorgieThe Bobbettes"
100,1960-10-22,"Isn't It Amazing","The Crests featuring Johnny Mastro","Isn't It AmazingThe Crests featuring Johnny Mastro"
98,1960-10-22,"Midnight Lace","David Carroll And His Orchestra","Midnight LaceDavid Carroll And His Orchestra"
96,1960-10-29,"Irresistable You","Bobby Peterson","Irresistable YouBobby Peterson"
93,1960-11-05,"(Theme From) The Sundowners","Mantovani & His Orchestra","(Theme From) The SundownersMantovani & His Orchestra"
96,1960-11-05,"A Thousand Miles Away","The Heartbeats","A Thousand Miles AwayThe Heartbeats"
